,Nombre,Barrio,Tipo_terraza
381,TABERNA FANTASTICA,ACACIAS             ,Acera
382,CAFE DOMAR                                        ,ACACIAS             ,Acera
383,BAR LAS TAPAS,CASCO H.VALLECAS    ,Bulevar
384,SECABE CERVECERIA,VALVERDE            ,Calle peatonal
385,GOIKO GRILL,VALVERDE            ,Acera
386,CAFETERIA CERVECERIA BIARRITZ,GUINDALERA          ,Acera
387,BAR CASA MANOLO,PAVONES             ,Acera
388,SALVAZ,VISTA ALEGRE        ,Superficie en parcela privada
389,PUB FANNY,EL VISO             ,Acera
390,RESTAURANTE CHINO PROSPERIDAD II,LOS ROSALES         ,Plaza peatonal
391,CAFE Y TE,GOYA                ,Acera
392,BAR JANDRO,MARROQUINA          ,Acera
393,PLANETA SACONIA,VALDEZARZA          ,Acera
394,RESTAURANTE CHINO GUANG ZHOU,LAS AGUILAS         ,Acera
395,CASA CORONEL,LAS AGUILAS         ,Acera
396,BAR LOS XURROS,LAS AGUILAS         ,Acera
397,24 CAMPANA,LAS AGUILAS         ,Acera
398,R?TULO NO INFORMADO,PUERTA DEL ANGEL    ,Acera
399,BAR MONTIJO,BUENAVISTA          ,Acera
400,RODILLA,GOYA                ,Acera
401,EL VIEJO MADRID,ACACIAS             ,Acera
402,OFICINAS PRIVADAS DE GESTION EMPRESA,IMPERIAL            ,Acera
403,CAFETERIA RONDA DE TOLEDO,ACACIAS             ,Acera
404,VENTA MATADERO,CHOPERA             ,Plaza peatonal
405,BULEVART,ARGUELLES           ,Acera
406,BAR SEYDA,NUMANCIA            ,Acera
407,EL RINCON DE CRUZ BLANCA,ORCASUR             ,Acera
408,JORDAN CAFE BAR,ORCASITAS           ,Acera
409,SALON DE JUEGOS,CASCO H.BARAJAS     ,Acera
410,HOTEL FLORIDA NORTE,CASA DE CAMPO       ,Acera
411,100 MONTADITOS,PALACIO             ,Acera
412,LA CUEVA DEL PINTXO,UNIVERSIDAD         ,Acera
413,SOCCER,COSTILLARES         ,Acera
414,CAFETERIA LOS ALPES,BUTARQUE            ,Acera
415,LA PIPARRA,PACIFICO            ,Acera
416,BODEGUITA DONDE SIEMPRE,PACIFICO            ,Acera
417,LA CRUZ BLANCA,SAN DIEGO           ,Acera
418,LOS PAJARITOS,SAN PASCUAL         ,Acera
419,LAS VEGAS,MARROQUINA          ,Acera
420,EL UROGALLO,CASA DE CAMPO       ,Acera
421,CAFETERIA GOMEZ,GUINDALERA          ,Acera
422,CERVECERIA EL RUEDO,GUINDALERA          ,Acera
423,ANELL,RECOLETOS           ,Acera
424,GIANGROSSI,RECOLETOS           ,Acera
425,HOTEL ADLER,RECOLETOS           ,Acera
426,RESTAURANTE KANBEY,NUEVA ESPA?A        ,Acera
427,PIZZERIA EMPANADILLAS BELISA,HISPANOAMERICA      ,Acera
428,CAFETERIA RESTAURANTE LA CASCADA,CASTILLA            ,Acera
429,SIN R?TULO,PROSPERIDAD         ,Acera
430,EL ENFRIADOR CERVECERIA,NUEVA ESPA?A        ,Acera
431,HAVANA 25,EL VISO             ,Acera
432,QUINTA',EL VISO             ,Bulevar
433,UDABERRI,HISPANOAMERICA      ,Acera
434,BAR HOGAR,CASTILLA            ,Plaza peatonal
435,VIPS,CASTELLANA          ,Acera
436,CERVECERIA FUENTECOBRE,LEGAZPI             ,Bulevar
437,CAFETERIA LA MOLOA,ACACIAS             ,Acera
438,CAFETERIA TRASMONTANA RESTAURANTE,LEGAZPI             ,Calle peatonal
439,CAFETERIA LUZ TROPICAL,CHOPERA             ,Acera
440,CAFETERIA LA PESETA,CHOPERA             ,Acera
441,CHURRERIA PATUCHURRO,LEGAZPI             ,Acera
442,ENME DE MADRID,HISPANOAMERICA      ,Acera
443,CHISTO,ROSAS               ,Acera
444,MESON EL CARIBE,CASA DE CAMPO       ,Acera
445,CAFETERIA MARKITOS,DELICIAS            ,Acera
446,HENRYS TAVERN,ARAVACA             ,Acera
447,CERVECERIA LA CUCA?A,PALOS DE MOGUER     ,Plaza peatonal
448,RTE. TOMATE Y BOGAVANTE,ACACIAS             ,Acera
449,RESTAURANTE CERVECERIA NUEVA YORK,ENSANCHE DE VALLECAS,Bulevar
450,VALENTINA,LOS JERONIMOS       ,Acera
451,BAR AJERO,SIMANCAS            ,Acera
452,BAR ZAYAS ME DA IGUAL,SIMANCAS            ,Acera
453,ALAMBIQUE,QUINTANA            ,Acera
454,101 MONTADITOS,GUINDALERA          ,Acera
455,CAFE MARIANA,DELICIAS            ,Acera
456,LA EMBAJADA,ALAMEDA DE OSUNA    ,Acera
457,BAR  CASA CELEIRO,ROSAS               ,Acera
458,URBAN CAFE BAR,NUMANCIA            ,Acera
459,BAR RESTAURANTE RISOL,ARGUELLES           ,Acera
460,VINATEROS 28,MEDIA LEGUA         ,Acera
461,LA ZALAMERA,CIUDAD UNIVERSITARIA,Acera
462,LA TARBENA DE ORTEGA,LISTA               ,Acera
463,BAR,LISTA               ,Acera
464,EL PESCADOR,LISTA               ,Acera
465,RESTAURANTE DO?A LAMBRA,LEGAZPI             ,Acera
